match_num,teams,match_id,winner
0,"Caitlyn,Khazix,Aatrox,Morgana,Gangplank,TwistedFate,Leona,Jhin,Jax,XinZhao",3848166756,1
1,"Khazix,Rakan,Ezreal,Anivia,Irelia,Rengar,Lucian,Ryze,Kennen,Pyke",3848165825,0
2,"Jax,Jhin,Pyke,Pantheon,Lissandra,Lucian,Thresh,Irelia,Aatrox,LeeSin",3848142888,0
3,"Jhin,Jax,Soraka,Evelynn,Leblanc,Teemo,Camille,Diana,Kennen,Ezreal",3846292380,0
4,"Caitlyn,Annie,Khazix,Irelia,Lulu,Zilean,Urgot,Ezreal,Nunu,Katarina",3846271863,1
5,"Khazix,Ezreal,Chogath,Taric,Yasuo,Lucian,Irelia,Skarner,Lux,Annie",3843080096,1
6,"Khazix,Janna,Irelia,Lissandra,Jinx,Ekko,Yasuo,Camille,Xayah,Bard",3843097517,0
7,"Xerath,Yasuo,Riven,Twitch,Kassadin,Sivir,Kled,Rakan,Kayn,Leblanc",3805813370,0
8,"Bard,Khazix,Gangplank,Ezreal,Lux,Tristana,Yasuo,Gragas,Zyra,Sion",3785566637,0
9,"Ryze,Nocturne,Jinx,Karma,Singed,Nami,Shaco,Lux,Kled,Sivir",3756221651,0
10,"Xayah,Velkoz,Ahri,JarvanIV,Pantheon,DrMundo,Zac,Ezreal,Lucian,Riven",3837297071,0
11,"Rakan,Akali,Sejuani,Kaisa,Yasuo,Lissandra,Kayn,Ahri,Jhin,Zilean",3835978171,1
12,"Camille,Thresh,Lucian,Ahri,Evelynn,Kaisa,Taliyah,Jayce,Syndra,Maokai",3826749899,0
13,"Diana,Malphite,Nami,Jhin,Zac,Aatrox,Lucian,Ahri,Twitch,Thresh",3826741733,1
14,"Ekko,Leona,Caitlyn,LeeSin,Ornn,Alistar,Lucian,TwistedFate,Darius,XinZhao",3826714490,1
15,"Akali,XinZhao,Tristana,Ahri,Thresh,Blitzcrank,Jhin,Camille,Soraka,Amumu",3825014161,1
16,"Bard,Tristana,Ahri,Nidalee,Sion,Fiora,Ezreal,Azir,Alistar,Kayn",3824981286,0
17,"Brand,Syndra,Vayne,LeeSin,Chogath,Jinx,Thresh,Nocturne,Jayce,Anivia",3824926956,0
18,"Thresh,Viktor,Teemo,Kayn,Vayne,Anivia,Jax,Sion,Xayah,Ahri",3824604891,1
19,"Bard,Evelynn,Kassadin,Kaisa,Vladimir,Alistar,Tristana,Teemo,Jax,Ahri",3824594771,0
20,"Draven,Brand,Kayn,Fiora,Anivia,Camille,Gangplank,Urgot,Pyke,Karthus",3840424087,1
21,"Lissandra,Nasus,Brand,Caitlyn,LeeSin,Elise,Velkoz,Fiora,Ezreal,Leblanc",3840415102,0
22,"Gangplank,Fizz,Kaisa,Hecarim,Blitzcrank,Lissandra,Lucian,Nocturne,Sion,Brand",3828974230,1
23,"Sivir,Pyke,Viktor,Talon,Evelynn,Nocturne,Ekko,Lucian,Ahri,Zilean",3828834199,0
24,"Tristana,Ornn,Brand,Leblanc,Camille,Twitch,Pyke,Poppy,Veigar,Khazix",3828794013,1
25,"Kayn,Kaisa,Taric,Poppy,Ekko,Soraka,Camille,Talon,Chogath,Lucian",3828739624,0
26,"Nunu,Thresh,Irelia,Sion,Sivir,Brand,Kayn,Yasuo,Kled,Kaisa",3828687675,1
27,"Xayah,Nidalee,Brand,Diana,Fiora,Heimerdinger,Gragas,Lucian,Pyke,Zoe",3828646132,1
28,"Kaisa,Irelia,Taliyah,Blitzcrank,Orianna,XinZhao,Syndra,Brand,Aatrox,Ezreal",3828579109,1
29,"Yasuo,Pantheon,Brand,Sion,Ezreal,Viktor,Soraka,Khazix,Syndra,Vayne",3828524682,1
30,"Tryndamere,LeeSin,Yasuo,Brand,Leona,Rumble,Janna,Lucian,Ryze,XinZhao",3854012414,0
31,"Nami,Leblanc,Jhin,LeeSin,Zed,Ashe,Karthus,Veigar,XinZhao,Lux",3822431799,0
32,"Velkoz,Aatrox,Jhin,Brand,Volibear,Riven,Camille,Orianna,Lulu,Kaisa",3822327482,0
33,"Riven,Camille,Morgana,Syndra,Jinx,Malzahar,Thresh,Aatrox,Kindred,Kaisa",3822311941,0
34,"Ekko,Sivir,Jayce,Evelynn,Thresh,Nunu,Morgana,Lissandra,Heimerdinger,Jhin",3822303724,1
35,"Nami,Kaisa,Elise,Talon,Malphite,Riven,Thresh,Rumble,Varus,Ryze",3822254358,0
36,"Caitlyn,Thresh,Jax,Nocturne,Xerath,Taliyah,Zed,Yorick,Zilean,Draven",3822199409,1
37,"Twitch,Kassadin,Morgana,Urgot,LeeSin,Jhin,Xerath,Sion,Pyke,Gragas",3822175830,1
