match_num,teams,match_id,winner
0,"Ezreal,Leona,JarvanIV,Illaoi,Ahri,Caitlyn,Brand,LeeSin,Lissandra,Kayle",2923460319,1
1,"Evelynn,Thresh,Kaisa,Illaoi,Irelia,Darius,Talon,Ekko,Swain,Pyke",2923423887,1
2,"Talon,Fiora,Swain,Rakan,Camille,Jinx,Quinn,Rengar,Azir,Fiddlesticks",2923403343,0
3,"Yasuo,Shaco,Vayne,Thresh,MonkeyKing,Jax,Lux,Tryndamere,Cassiopeia,Ezreal",2923270622,0
4,"Urgot,Syndra,Lucian,Thresh,Olaf,Fiora,Evelynn,Xerath,Ezreal,Pyke",2923231618,1
5,"Leblanc,Fiora,Xayah,Camille,Rakan,Nidalee,Lucian,Thresh,Yasuo,Darius",2923225162,0
6,"MissFortune,Mordekaiser,Twitch,Lulu,Thresh,Nocturne,Viktor,Zed,Ezreal,Pyke",2923177983,1
7,"Lucian,Thresh,LeeSin,Ryze,Darius,Vayne,Nami,Gragas,Camille,Galio",2922339129,1
8,"Ezreal,LeeSin,Irelia,Malphite,Bard,Thresh,Lucian,JarvanIV,Fiora,Galio",2922343296,1
9,"Diana,Khazix,Sivir,Sona,Pyke,MasterYi,Renekton,Kalista,Corki,Thresh",2922168687,1
10,"Ahri,Ezreal,Garen,Pyke,Jax,Camille,Anivia,Khazix,Leona,Draven",2921937828,0
11,"Pyke,Thresh,Camille,Lucian,Annie,Kaisa,Taric,Anivia,LeeSin,Viktor",2920032531,1
12,"Zilean,Anivia,Kennen,Sivir,Camille,Thresh,Kaisa,Kassadin,Pantheon,Chogath",2902346242,0
13,"Lucian,Ekko,Ryze,Nidalee,Alistar,DrMundo,LeeSin,Jhin,Anivia,Nami",2902343570,1
14,"Caitlyn,Vi,Viktor,Nami,Fiora,KogMaw,Bard,Anivia,Shyvana,Lissandra",2902332330,1
15,"Anivia,Lulu,MissFortune,Irelia,Kayn,Janna,Lucian,Ziggs,Twitch,Illaoi",2902318861,0
