match_num,teams,match_id,winner
0,"Graves,Lux,Gangplank,Braum,Lucian,Malzahar,Kayn,Alistar,Xayah,Galio",2894655455,0
1,"Alistar,Irelia,Draven,Kassadin,Nocturne,Renekton,Ryze,Lulu,Jhin,Shyvana",2887367992,0
2,"Jinx,XinZhao,Jax,Fizz,Nami,Evelynn,Braum,Zed,Vladimir,Draven",2861576217,0
3,"Malzahar,Zilean,XinZhao,Jax,Caitlyn,Fizz,Lulu,Kaisa,Rammus,Yasuo",2861571250,0
4,"Twitch,Soraka,Malphite,Jhin,AurelionSol,Graves,Jax,Morgana,Caitlyn,Malzahar",2861537407,1
5,"Twitch,Jax,Blitzcrank,AurelionSol,Ashe,Thresh,Xayah,XinZhao,Renekton,Malzahar",2861533098,0
6,"Malphite,Lux,Graves,Kassadin,Lucian,Jhin,Diana,Thresh,XinZhao,Jax",2861521410,0
7,"Yasuo,MissFortune,Thresh,XinZhao,Jax,Garen,Kaisa,Taliyah,Evelynn,Braum",2861516876,1
8,"DrMundo,Tristana,Lulu,Diana,Camille,Amumu,Sona,MissFortune,Zilean,Jax",2861510774,0
9,"Shyvana,Thresh,Leblanc,Kaisa,Gangplank,Pantheon,Talon,Vladimir,Warwick,Leona",2844964997,0
10,"Anivia,Lucian,Zyra,Poppy,Gragas,Warwick,Darius,Velkoz,Leona,Draven",2912285536,1
11,"Ekko,Vi,Kaisa,Brand,Talon,Velkoz,Jax,XinZhao,Swain,Xayah",2895648223,1
12,"Gnar,Khazix,Malzahar,Velkoz,Kaisa,Leona,Jhin,Hecarim,Ryze,Jax",2884861377,1
13,"Renekton,Velkoz,Ahri,Sivir,Udyr,Shen,Xayah,AurelionSol,Rakan,Rammus",2881169507,0
14,"Morgana,Camille,Lucian,Blitzcrank,Illaoi,Ryze,MasterYi,Velkoz,Thresh,Draven",2880643878,1
15,"Riven,Khazix,Leona,Lucian,Orianna,Sion,Camille,Jhin,Galio,Velkoz",2880623122,0
16,"Chogath,Shaco,Annie,Leona,Graves,Velkoz,Corki,Lucian,Nocturne,Darius",2880568036,0
17,"Varus,Nasus,Malzahar,Skarner,Leona,Velkoz,Azir,Sejuani,Sion,Sivir",2880322955,1
18,"Kayn,Zed,Ahri,Malphite,KogMaw,Morgana,Riven,Kaisa,Nunu,Velkoz",2880053678,1
19,"Ivern,Lucian,Vayne,Thresh,Lux,Kaisa,Velkoz,Garen,Blitzcrank,Kindred",2880002872,0
20,"Elise,Braum,Kaisa,Sivir,Irelia,Riven,Zoe,LeeSin,Swain,Morgana",2930938872,0
21,"Leona,Graves,Xerath,Lucian,Kled,Urgot,Neeko,Zyra,Rammus,Swain",2930941909,1
22,"Lucian,Urgot,Orianna,Rakan,LeeSin,Ekko,Graves,Swain,Thresh,Ezreal",2930485152,1
23,"Swain,Brand,Ezreal,Garen,Warwick,Thresh,Kindred,Malphite,KogMaw,Riven",2930445941,0
24,"Maokai,Syndra,Kaisa,Teemo,Rengar,Swain,Jax,MonkeyKing,Leona,Ezreal",2930428341,0
25,"Neeko,Kaisa,Swain,Kayn,Vayne,Taliyah,Mordekaiser,Cassiopeia,Khazix,Pyke",2930394336,0
26,"Leona,MasterYi,Malzahar,Xayah,Darius,Teemo,Thresh,Tristana,Swain,Rengar",2929673925,1
27,"Rengar,Swain,Shen,Thresh,Lucian,Kayn,Morgana,Annie,Pantheon,Sivir",2929634065,1
28,"Ekko,Thresh,Ashe,Camille,Orianna,Singed,Zyra,KogMaw,Jax,Swain",2929603742,1
29,"Tristana,Swain,Thresh,Evelynn,Neeko,Brand,Amumu,Fiora,Zoe,MissFortune",2929573738,0
30,"Morgana,Pyke,MasterYi,Lucian,Jax,Kaisa,Lux,Khazix,Poppy,Gragas",2888927903,1
