match_num,teams,match_id,winner
0,"Tryndamere,Katarina,Leona,Rammus,Jhin,Zyra,Brand,Camille,Lucian,Udyr",2920288039,0
1,"MissFortune,Xerath,Poppy,Talon,Pantheon,Jayce,Udyr,Ekko,Thresh,Kaisa",2930371409,0
2,"Kaisa,Rengar,Talon,Camille,Thresh,Fiora,Karthus,Amumu,Morgana,Ashe",2913523928,1
3,"XinZhao,Sona,Kaisa,Blitzcrank,Jayce,Aatrox,Hecarim,Morgana,Zed,Orianna",2913496815,0
4,"Singed,Karthus,Gragas,Zyra,Twitch,Viktor,Kindred,Brand,Irelia,Lucian",2913458946,1
5,"Velkoz,Jax,Lucian,Khazix,Leona,Xayah,Aatrox,Thresh,Syndra,Camille",2913453147,0
6,"Kennen,Kassadin,Taliyah,Twitch,Zilean,Gangplank,XinZhao,Sona,Rakan,Xayah",2912009264,1
7,"Vayne,Rakan,Riven,Fiora,Amumu,Pyke,Rumble,Kaisa,Cassiopeia,Khazix",2911991121,0
8,"Katarina,Sona,Ezreal,Urgot,Hecarim,Kassadin,Riven,Kaisa,LeeSin,Rakan",2907240791,0
9,"Khazix,Xayah,Olaf,Rakan,Chogath,Braum,Lucian,Nidalee,Kassadin,Garen",2907214891,0
10,"Viktor,Shaco,Fizz,Ashe,Morgana,Kaisa,Ahri,Anivia,Leona,Rengar",2905534423,1
11,"Lucian,Evelynn,Nami,Kassadin,Vladimir,Nautilus,Irelia,Malzahar,Pantheon,Sivir",2905471584,0
12,"Ahri,Lucian,Urgot,XinZhao,Thresh,Tryndamere,Nocturne,Akali,Brand,Zyra",2926084938,0
13,"Alistar,Cassiopeia,LeeSin,Viktor,Akali,Gragas,Thresh,Urgot,Ahri,Lucian",2926067341,1
14,"Rengar,Yasuo,Fiddlesticks,Malphite,Kaisa,TwistedFate,Thresh,LeeSin,Ezreal,Riven",2926051953,0
15,"Brand,Neeko,Malphite,LeeSin,Lucian,Khazix,Sion,Jhin,Thresh,Lux",2926022504,1
16,"Kennen,Brand,Lissandra,LeeSin,Jhin,Kayn,Nautilus,Lucian,AurelionSol,Thresh",2925985495,0
17,"Rengar,Diana,Kindred,Lucian,Velkoz,Thresh,XinZhao,Twitch,Singed,Leblanc",2926000034,0
18,"Leblanc,Nocturne,Rumble,Pyke,Riven,Vladimir,XinZhao,Diana,Jhin,Thresh",2925967442,1
19,"LeeSin,Kassadin,Janna,Illaoi,MissFortune,Aatrox,Kennen,Thresh,Udyr,Lucian",2925670813,1
20,"Lucian,Sion,MonkeyKing,Brand,Teemo,Rammus,Zed,Zoe,Heimerdinger,Irelia",2925630389,1
21,"Zed,Leblanc,Jax,Brand,Ashe,Velkoz,Ekko,Anivia,Swain,MasterYi",2925610401,0
22,"TwistedFate,Ezreal,Pantheon,Evelynn,Riven,Talon,Renekton,Tryndamere,Tristana,Lulu",2930721498,1
23,"Jax,Zyra,Ezreal,Zed,Malphite,Talon,Ahri,Ekko,Alistar,KogMaw",2930699322,0
24,"Thresh,Caitlyn,Tryndamere,Zed,Ekko,Ezreal,Yasuo,Pyke,LeeSin,Fizz",2930963684,1
