match_num,teams,match_id,winner
0,"Irelia,Lux,Caitlyn,MasterYi,Ahri,Ezreal,Janna,Nidalee,Xerath,Mordekaiser",2926627991,1
1,"Lucian,Riven,Pyke,Kaisa,Alistar,Ahri,Ekko,Graves,Lulu,Draven",2926592382,1
2,"Lucian,Leblanc,Heimerdinger,Nami,Jax,Graves,Ashe,Zyra,Kassadin,Poppy",2914577234,1
3,"Lissandra,Sivir,Braum,XinZhao,Jax,Karma,Graves,Yasuo,Jhin,Alistar",2914558262,0
4,"Heimerdinger,Nocturne,Tristana,Irelia,Brand,Fiddlesticks,Kaisa,Nidalee,Darius,Annie",2913119065,1
5,"Karma,Jhin,Sion,Hecarim,Leblanc,Viktor,Ezreal,Graves,Tryndamere,Fiddlesticks",2913106432,1
6,"Lucian,XinZhao,Riven,Pyke,Lissandra,Annie,LeeSin,Xayah,Leona,Karthus",2908508306,1
7,"Velkoz,Rengar,Lucian,Ahri,Kled,Nami,Camille,Leblanc,Ornn,Sivir",2908468000,1
8,"Soraka,Darius,Shaco,Draven,AurelionSol,Brand,Karma,Kindred,Kled,Lucian",2929729861,1
9,"Ekko,Elise,Kalista,Akali,Bard,Yasuo,Shyvana,Camille,Ahri,Nami",2928786923,0
10,"Elise,Neeko,Renekton,Lissandra,Fiddlesticks,Thresh,Fiora,Ezreal,Jax,Katarina",2928756788,0
11,"Lulu,Lucian,LeeSin,Zoe,Pantheon,Leblanc,Jax,KogMaw,Nidalee,Thresh",2928694073,1
12,"Jax,Hecarim,Brand,Orianna,Lucian,Irelia,Caitlyn,Thresh,Gragas,Fizz",2928636324,0
13,"Fizz,Vayne,LeeSin,Irelia,Nami,KogMaw,Zilean,Graves,Katarina,Renekton",2928501566,0
14,"Akali,MonkeyKing,Thresh,Caitlyn,Karma,Khazix,Pyke,Cassiopeia,Ezreal,Yasuo",2928367877,1
15,"Yasuo,Mordekaiser,Nami,Sivir,Orianna,Lissandra,Zac,Neeko,Darius,Zyra",2927981947,0
