match_num,teams,match_id,winner
0,"Caitlyn,Kayn,Janna,Akali,Sion,Zyra,Khazix,Irelia,Lissandra,MissFortune",2929678108,1
1,"Lux,Yasuo,Irelia,Kaisa,LeeSin,Jhin,Alistar,Orianna,Graves,Fiora",2929658787,0
2,"JarvanIV,Soraka,Kaisa,Poppy,Xerath,Jhin,Kassadin,Leona,Renekton,Nunu",2929608809,1
3,"Kassadin,Khazix,Karma,Ezreal,Ornn,Kayn,Velkoz,Gragas,Riven,Tristana",2929597925,1
4,"Ezreal,Swain,Teemo,Khazix,Lux,Rakan,Kennen,Udyr,Leblanc,Lucian",2929336010,1
5,"Jhin,Graves,Leblanc,Irelia,Thresh,Brand,Ezreal,Rengar,Elise,Urgot",2929325574,1
6,"Jax,Rengar,Thresh,Syndra,Jhin,Khazix,Veigar,TwistedFate,Ezreal,Irelia",2929127500,0
7,"Irelia,Neeko,Aatrox,Nami,Yasuo,Xerath,Karthus,Jhin,LeeSin,Sion",2929107620,1
8,"Morgana,Orianna,Nunu,Renekton,Jhin,TwistedFate,Aatrox,MissFortune,Leona,Warwick",2928717209,0
9,"Leona,LeeSin,Volibear,Galio,Caitlyn,Renekton,Thresh,Gragas,Leblanc,Jhin",2928710266,1
10,"Caitlyn,Lulu,Hecarim,Syndra,Rumble,Kled,Talon,Kayn,Zyra,Brand",2923230933,1
11,"Vayne,Chogath,Ahri,Graves,Zilean,Olaf,Twitch,Brand,Sion,Leblanc",2889723229,0
12,"TwistedFate,Kled,Blitzcrank,Ezreal,Twitch,Kennen,Katarina,Tristana,Rengar,Leblanc",2888065804,1
13,"Pyke,Teemo,Lucian,Taliyah,Zed,JarvanIV,Morgana,Jayce,Galio,Sivir",2888024937,0
14,"Renekton,Leona,Veigar,Tristana,Khazix,Maokai,Skarner,Ezreal,Morgana,Ekko",2887123035,0
15,"Ahri,XinZhao,Darius,Rakan,Kindred,TwistedFate,Lucian,Pyke,Soraka,Kayn",2929896475,0
16,"Lucian,Irelia,LeeSin,Kled,Brand,Riven,Blitzcrank,AurelionSol,Gangplank,MasterYi",2929882847,0
17,"Camille,Neeko,Thresh,Twitch,Khazix,Karthus,Darius,Soraka,Taliyah,Amumu",2929920575,0
