match_num,teams,match_id,winner
0,"Kaisa,Zoe,Urgot,JarvanIV,Janna,Pyke,Mordekaiser,Trundle,Rumble,Tristana",2868799600,0
1,"Mordekaiser,Morgana,Kaisa,JarvanIV,Kassadin,Tristana,LeeSin,Singed,Janna,TwistedFate",2868803635,0
2,"Tristana,Blitzcrank,Kassadin,Vi,Riven,Katarina,Kaisa,Camille,Poppy,Morgana",2868775373,0
3,"XinZhao,Akali,Varus,Nami,Ryze,Morgana,Urgot,Tristana,Zed,LeeSin",2868736867,1
4,"TahmKench,RekSai,Jhin,Kassadin,Yasuo,Pyke,Jax,Kaisa,Graves,Galio",2868722808,1
5,"Yasuo,Bard,Ekko,Amumu,Lucian,JarvanIV,Talon,Chogath,Kaisa,Thresh",2868704220,1
6,"Amumu,Akali,Urgot,Thresh,Kaisa,Pyke,KogMaw,Anivia,Camille,JarvanIV",2868700164,1
7,"Riven,Nami,MissFortune,Jayce,Elise,Zed,Jhin,Poppy,Braum,Taliyah",2868599212,0
8,"Nocturne,Xayah,Ahri,LeeSin,Alistar,Kassadin,Urgot,Shaco,Jhin,Nami",2868587299,1
9,"Braum,Nidalee,Yasuo,Ashe,Ornn,Kaisa,Galio,Warwick,Irelia,Pantheon",2868595431,1
10,"Lissandra,Lucian,Leona,Kassadin,Nocturne,XinZhao,Annie,Jax,Thresh,Jinx",2905372953,1
11,"Ashe,Camille,Thresh,Mordekaiser,Akali,Lucian,MonkeyKing,Nami,Jayce,Leblanc",2901767389,1
12,"Amumu,Aatrox,Velkoz,Heimerdinger,Thresh,XinZhao,Jayce,Veigar,Ezreal,Rakan",2896931186,0
13,"Gragas,Xayah,Sion,Malzahar,Rakan,Thresh,Lissandra,Nidalee,Sivir,Yasuo",2896610745,1
14,"Katarina,Braum,Lucian,Yorick,Graves,Teemo,Kaisa,Alistar,Ahri,Kayn",2896584785,0
15,"Thresh,Kled,Ekko,Ezreal,Camille,Veigar,XinZhao,Aatrox,Blitzcrank,Lucian",2896559009,0
16,"Morgana,Nami,Lucian,Garen,Olaf,Graves,Ahri,Jax,Alistar,Kaisa",2896550154,1
17,"Draven,Jax,Ekko,Khazix,Teemo,Sion,Lucian,Alistar,Velkoz,Kindred",2896512839,1
18,"Alistar,Camille,Ekko,Taliyah,Tristana,Kaisa,Pyke,Hecarim,Kassadin,Aatrox",2896209187,0
19,"TahmKench,Yasuo,Lucian,Alistar,Graves,Quinn,Yorick,Gragas,Kaisa,Ivern",2894996010,0
20,"Zoe,Orianna,Kayn,Thresh,Ezreal,LeeSin,Galio,Yasuo,Karma,Poppy",2929812986,0
21,"Jax,XinZhao,Thresh,Lucian,Ekko,Ezreal,Janna,Riven,Ahri,Khazix",2929803274,1
22,"LeeSin,Anivia,Bard,Viktor,Jhin,Ezreal,Camille,Thresh,Kennen,Zed",2929692994,1
23,"Caitlyn,Vladimir,Zyra,XinZhao,Jax,Ezreal,Pyke,Diana,Darius,Rengar",2929122694,1
24,"Ezreal,Kassadin,Sona,Graves,Shen,Kaisa,Shaco,Pyke,Irelia,Neeko",2929100157,0
25,"Khazix,Akali,Karma,Aatrox,Kaisa,Taric,XinZhao,Talon,Karthus,Twitch",2929048397,1
26,"Jhin,Morgana,Karthus,Jayce,XinZhao,Leblanc,Lulu,Twitch,Kayn,Illaoi",2929019880,0
27,"Morgana,Azir,Kaisa,Jax,Vi,Leona,Lucian,Graves,Lissandra,Sion",2928954386,0
28,"Mordekaiser,Lulu,Lucian,Leblanc,LeeSin,Nami,Ezreal,Tryndamere,Kassadin,Khazix",2928925143,1
29,"Riven,Veigar,Caitlyn,Khazix,Xerath,Velkoz,Jhin,Akali,Urgot,LeeSin",2928894352,1
30,"Ezreal,Neeko,Urgot,Riven,Velkoz,MonkeyKing,Sona,Ekko,Yasuo,Heimerdinger",2930252244,1
31,"Swain,Nidalee,Zed,Sona,Vayne,Lucian,Ezreal,Warwick,Janna,Karma",2928007391,0
32,"Draven,Kayn,Vladimir,Karma,Sona,Kennen,Jax,Talon,Lucian,Morgana",2927332418,1
33,"Gragas,Garen,Neeko,Caitlyn,Heimerdinger,Jax,Pantheon,Jinx,Janna,Orianna",2927283413,1
34,"Neeko,Zyra,Galio,Draven,Jax,Malzahar,Gragas,Riven,Janna,Lucian",2925495123,0
35,"Zyra,Twitch,Katarina,Nidalee,Fiora,Gragas,Viktor,Quinn,Anivia,Leona",2925468837,0
36,"Lucian,Jax,Poppy,Nami,Tryndamere,Jhin,Irelia,Ryze,LeeSin,Blitzcrank",2925151873,0
37,"Pyke,Yasuo,Xerath,Lux,Rammus,Riven,Shaco,Orianna,Jhin,Soraka",2924294237,1
38,"Vayne,Irelia,Lux,Tryndamere,Soraka,Orianna,Ezreal,Janna,Riven,Kayn",2924301024,1
