match_num,teams,match_id,winner
0,"Nami,Vayne,Volibear,Ahri,Nasus,Fiora,Ezreal,Leona,Xerath,Kayn",2931174131,1
1,"Vayne,Camille,Lux,XinZhao,Irelia,Sona,MasterYi,Veigar,Fiora,Xayah",2931137742,0
2,"Camille,Vayne,Lux,Kassadin,Ezreal,Pyke,Amumu,Leblanc,Kaisa,Singed",2931132614,1
3,"Pyke,Kaisa,Singed,Amumu,Leblanc,Thresh,Cassiopeia,Aatrox,Lucian,Irelia",2931106312,0
4,"Katarina,Twitch,Pyke,Rengar,Jax,Kaisa,Nami,Kassadin,Khazix,Irelia",2930592100,1
5,"Vayne,Nami,Evelynn,Yasuo,Fiora,Camille,DrMundo,Alistar,Tristana,Fizz",2929138926,1
6,"Kayn,Sivir,Thresh,Camille,Lux,Khazix,Alistar,Kaisa,Aatrox,Ekko",2929120061,0
7,"Anivia,Ezreal,RekSai,Fiora,Alistar,Lissandra,Leona,Kassadin,Kayn,Vayne",2929079592,1
8,"Diana,Evelynn,Thresh,Lucian,Heimerdinger,Alistar,Zoe,Kaisa,LeeSin,Trundle",2928116289,0
9,"Kaisa,Talon,Graves,Rumble,Nautilus,Neeko,Braum,Rengar,Lucian,Irelia",2928088762,0
10,"Thresh,Rengar,Garen,TwistedFate,Kaisa,LeeSin,Lucian,Xerath,Neeko,Renekton",2925809671,1
11,"Katarina,Kayn,Jhin,JarvanIV,Sona,Kaisa,Zyra,Kled,LeeSin,Corki",2923831048,0
12,"Blitzcrank,Kaisa,Evelynn,Ahri,Poppy,Sivir,Azir,JarvanIV,Zilean,Rammus",2902926828,0
13,"Zilean,Vayne,Olaf,Ekko,Sion,Irelia,Lucian,Aatrox,Soraka,RekSai",2887925642,0
14,"Tristana,Leona,Taliyah,Jax,Cassiopeia,Thresh,Kaisa,Amumu,AurelionSol,Lissandra",2887904888,0
15,"TwistedFate,Vayne,Urgot,LeeSin,Morgana,Blitzcrank,Ashe,Garen,Warwick,Cassiopeia",2887564395,0
16,"Ahri,Kled,Zilean,Hecarim,Kaisa,Vayne,Irelia,LeeSin,Anivia,Sona",2886843959,0
17,"Gangplank,Ezreal,Warwick,Ekko,Morgana,Irelia,Kaisa,Anivia,Leona,Graves",2886253353,0
18,"Irelia,Caitlyn,Thresh,Graves,Ekko,Sion,Yasuo,Hecarim,Zilean,Lucian",2886234241,0
19,"Chogath,Janna,Vladimir,Kaisa,Amumu,Zac,Anivia,Urgot,Udyr,Lucian",2886192796,0
20,"Ryze,Kaisa,Graves,Soraka,Kassadin,Janna,Ezreal,Jhin,Malphite,Pantheon",2931608428,0
21,"Braum,Caitlyn,Talon,Pantheon,Vladimir,Kaisa,Brand,Jax,Anivia,LeeSin",2931580261,0
22,"Brand,Ashe,Talon,Pantheon,Jax,MasterYi,Anivia,Riven,Draven,Blitzcrank",2931570838,1
23,"Kassadin,Ornn,Alistar,Ezreal,LeeSin,Fiddlesticks,Pantheon,Viktor,Kaisa,Talon",2931544344,1
24,"Jhin,Fiora,Thresh,Kassadin,Khazix,Yorick,Pantheon,Bard,Ezreal,Karthus",2931519776,0
25,"Pyke,Vi,Jinx,Darius,Fizz,Gragas,Khazix,MissFortune,Neeko,Thresh",2931502212,0
26,"Sona,Fizz,Elise,Karthus,Kaisa,Galio,LeeSin,Jinx,Velkoz,Pantheon",2929206077,0
27,"Anivia,Cassiopeia,LeeSin,Jhin,Ahri,TwistedFate,Braum,MissFortune,Aatrox,Nidalee",2923994772,0
28,"Jax,Orianna,Kayn,Lucian,Thresh,Neeko,Illaoi,Varus,Udyr,Nautilus",2931457545,1
29,"Kaisa,Janna,Aatrox,Taric,MasterYi,Nami,Lissandra,Ezreal,Udyr,Nasus",2931433068,0
30,"Karthus,Xerath,Cassiopeia,Udyr,Urgot,Jax,Orianna,XinZhao,Lucian,Sona",2929641342,1
