match_num,teams,match_id,winner
0,"Ezreal,Lux,Ekko,LeeSin,Aatrox,Garen,Khazix,Caitlyn,Lissandra,Leona",2932888061,1
1,"Aatrox,Leblanc,Amumu,Nami,Kaisa,Khazix,Lucian,Lux,Fiora,Braum",2932889954,1
2,"Kindred,Zyra,Jhin,Fiora,Alistar,Anivia,Fiddlesticks,Twitch,Sion,Gragas",2932829293,1
3,"Fiora,Zed,KogMaw,Lulu,Evelynn,TwistedFate,Akali,Camille,Jhin,Leona",2932385532,1
4,"Twitch,Karma,Kayle,Shen,Shyvana,Khazix,Lucian,Udyr,Orianna,Thresh",2931666581,0
5,"Yasuo,Irelia,Kayn,Soraka,Draven,Blitzcrank,Camille,TwistedFate,Kaisa,Sion",2931305729,1
6,"Sion,Lucian,Lux,Neeko,Kayn,Viktor,Kaisa,Sona,Riven,Trundle",2931283134,0
7,"Thresh,Jhin,Aatrox,Evelynn,Ahri,Kaisa,LeeSin,Poppy,Swain,Alistar",2931249837,1
8,"Fiora,Vayne,Khazix,Yasuo,Karma,Vi,Irelia,Riven,Fiddlesticks,Jhin",2921806006,1
9,"Fiddlesticks,Fizz,Talon,Camille,Kindred,Khazix,Aatrox,Kaisa,Velkoz,Pantheon",2921756931,1
10,"Syndra,Thresh,Lucian,Riven,Hecarim,Ezreal,Nami,Camille,Jax,Malzahar",2930784499,0
11,"Jax,Taric,Caitlyn,Gragas,Warwick,Zyra,Kayn,Riven,Ezreal,Talon",2930790574,1
12,"Malzahar,Twitch,Graves,Thresh,Irelia,Jinx,Soraka,Amumu,Jax,Yasuo",2930246708,1
13,"Ryze,Jax,RekSai,Varus,Thresh,Velkoz,Gragas,Lucian,Fiora,Yasuo",2930241745,0
14,"Jax,Brand,Khazix,Karthus,Jhin,Maokai,Draven,Galio,Shaco,Soraka",2929413795,0
15,"Ezreal,Brand,Cassiopeia,Shaco,Riven,Jax,LeeSin,Zyra,Gragas,Jhin",2929386562,1
16,"Kaisa,Nami,Fizz,Khazix,Shen,Leona,Yasuo,Katarina,JarvanIV,Urgot",2925489890,1
17,"Lux,Kayn,Darius,Zyra,Caitlyn,Kaisa,Katarina,Khazix,Jax,Zilean",2925443785,1
18,"Kayn,Kaisa,Ahri,Lux,Jax,Kled,Kassadin,JarvanIV,Heimerdinger,Thresh",2917302572,0
19,"Irelia,Sion,Sona,Ezreal,Amumu,Ekko,Jax,Graves,Zoe,Jhin",2917208557,1
20,"Tryndamere,Khazix,Braum,Malphite,Kaisa,Jhin,Brand,Irelia,Ivern,Gangplank",2880631429,0
21,"Lux,Aatrox,Gragas,Leona,Gangplank,Brand,Khazix,Lucian,Annie,Malphite",2880557136,0
22,"Brand,Orianna,Draven,Gragas,JarvanIV,Kassadin,Kayn,Thresh,Riven,Jhin",2880507790,0
23,"Kaisa,Pyke,Yasuo,Taliyah,Fiora,JarvanIV,Draven,Braum,Ziggs,Aatrox",2880483754,0
24,"Yasuo,Talon,Thresh,Sion,Kayn,Urgot,Soraka,Zed,Lucian,Shyvana",2880448973,0
25,"Zac,Sion,Alistar,Singed,Lucian,Heimerdinger,Kennen,Brand,Nidalee,Jinx",2876642925,1
26,"Tristana,Fizz,Irelia,Nidalee,Rakan,MasterYi,Thresh,DrMundo,Lucian,Sion",2876589266,1
27,"Khazix,Ryze,Brand,Fizz,Tristana,MissFortune,Kassadin,Camille,Pyke,Pantheon",2876569354,1
28,"Camille,LeeSin,Thresh,Caitlyn,Annie,XinZhao,Renekton,Gragas,Nami,Vayne",2876249348,0
29,"Tristana,Rammus,TwistedFate,Brand,Aatrox,Lucian,Sion,LeeSin,Zyra,Garen",2876206284,0
30,"Fiora,Vayne,Khazix,Yasuo,Karma,Vi,Irelia,Riven,Fiddlesticks,Jhin",2921806006,1
31,"Fiddlesticks,Fizz,Talon,Camille,Kindred,Khazix,Aatrox,Kaisa,Velkoz,Pantheon",2921756931,1
