match_num,teams,match_id,winner
0,"Kennen,Lucian,LeeSin,Zyra,Pantheon,Riven,Khazix,Yasuo,KogMaw,Thresh",2930481375,0
1,"Alistar,Kaisa,Lissandra,JarvanIV,Pantheon,Poppy,Lucian,Khazix,Zyra,Leblanc",2930390972,1
2,"Kayn,Brand,Draven,Fiddlesticks,Viktor,Karthus,Heimerdinger,XinZhao,Talon,Bard",2917687117,1
3,"Jayce,Draven,Aatrox,Syndra,Soraka,Ezreal,Heimerdinger,Viktor,RekSai,Bard",2917670248,0
4,"Bard,Yasuo,Fiora,Cassiopeia,Camille,Xayah,Nocturne,Irelia,Syndra,Karma",2917617594,1
5,"Alistar,Kaisa,Taliyah,Olaf,Riven,Lucian,XinZhao,Viktor,Katarina,Fiddlesticks",2917599392,0
6,"Olaf,Syndra,Yasuo,Quinn,Sona,Jayce,Zoe,Camille,Heimerdinger,Velkoz",2917601429,0
7,"Jayce,Lissandra,Lux,Sivir,Illaoi,Tristana,Blitzcrank,Fiora,Kindred,Galio",2917572892,1
8,"Akali,Jhin,XinZhao,Bard,Irelia,LeeSin,Katarina,Lux,Leblanc,Karthus",2917535815,0
9,"Jhin,Irelia,Taliyah,Maokai,Brand,Orianna,Nidalee,Akali,Yasuo,Kled",2917496747,1
10,"Leona,Hecarim,Sivir,Khazix,Akali,Rengar,Nasus,Kayn,Blitzcrank,Jhin",2930867305,0
11,"Sion,Lissandra,Camille,Lucian,Morgana,Lulu,MasterYi,Pyke,Jayce,Cassiopeia",2930848851,1
12,"Yasuo,Pantheon,MasterYi,Velkoz,Neeko,Gragas,Aatrox,Chogath,Nunu,Cassiopeia",2930824054,0
13,"Irelia,Chogath,Alistar,Draven,Nocturne,Braum,Lucian,Brand,Lux,Viktor",2930482905,1
14,"Riven,Rammus,Jax,Heimerdinger,Cassiopeia,Draven,Camille,Braum,Poppy,Lissandra",2930453169,1
15,"Alistar,Kaisa,Lissandra,JarvanIV,Pantheon,Poppy,Lucian,Khazix,Zyra,Leblanc",2930390972,1
16,"Jhin,Alistar,Khazix,Yasuo,Syndra,Rengar,Kaisa,Irelia,Gragas,Zyra",2930373072,0
17,"Leblanc,Lucian,Sion,Khazix,Bard,Ekko,Thresh,Akali,Ezreal,LeeSin",2930326189,0
18,"Kaisa,Nocturne,Irelia,Leona,Viktor,Kennen,Zed,Karthus,Lucian,Velkoz",2914833272,1
19,"Rengar,Illaoi,Ezreal,Galio,Velkoz,Thresh,Mordekaiser,Khazix,Sion,Karthus",2929679203,0
20,"Poppy,Ezreal,LeeSin,Irelia,Janna,Leblanc,Karthus,Camille,Lucian,Sion",2929649322,0
21,"Thresh,Mordekaiser,Lissandra,Riven,Kayn,Zyra,Neeko,Khazix,Pantheon,Jhin",2927895731,1
22,"Katarina,Poppy,Kaisa,Riven,Karthus,Pyke,Camille,Irelia,Jhin,Swain",2927873736,0
23,"Ivern,Jhin,Akali,Ahri,Alistar,Katarina,Karthus,Gangplank,Udyr,Twitch",2927844345,1
24,"Jax,Draven,Rakan,Elise,Aatrox,Tristana,Swain,Khazix,Thresh,Zoe",2924451114,0
25,"Akali,Braum,Lucian,Aatrox,Graves,Ezreal,Ivern,Cassiopeia,Thresh,Rumble",2924423127,1
26,"Brand,Heimerdinger,Talon,XinZhao,Vayne,Syndra,Nidalee,Aatrox,Draven,Karma",2906606643,0
27,"Lissandra,Ryze,Irelia,Kayn,Sona,Teemo,Viktor,Kaisa,Graves,Leona",2906578520,0
28,"Nami,Evelynn,Lissandra,Sivir,Aatrox,Lucian,Taliyah,Annie,Alistar,Tryndamere",2906560262,1
29,"Fizz,Sona,Camille,Talon,Kaisa,Graves,MissFortune,Alistar,Illaoi,Lissandra",2906532380,1
30,"Fizz,Aatrox,Kindred,Xayah,Alistar,Nidalee,Irelia,Heimerdinger,Kaisa,Sona",2906510241,1
